date,close,open,high,low,volume
2005-04-29T00:00:00-04:00,1156.84998,1143.21997,1156.96997,1139.18994,2362360000.0
2005-05-02T00:00:00-04:00,1162.16003,1156.84998,1162.87,1154.70996,1980040000.0
2005-05-03T00:00:00-04:00,1161.17004,1162.16003,1166.89001,1156.70996,2167020000.0
2005-05-04T00:00:00-04:00,1175.65002,1161.17004,1176.01001,1161.17004,2306480000.0
2005-05-05T00:00:00-04:00,1172.63,1175.65002,1178.62,1166.77002,1997100000.0
2005-05-06T00:00:00-04:00,1171.34998,1172.63,1177.75,1170.5,1707200000.0
2005-05-09T00:00:00-04:00,1178.83997,1171.34998,1178.87,1169.38,1857020000.0
2005-05-10T00:00:00-04:00,1166.21997,1178.83997,1178.83997,1162.97998,1889660000.0
2005-05-11T00:00:00-04:00,1171.10999,1166.21997,1171.77002,1157.70996,1834970000.0
2005-05-12T00:00:00-04:00,1159.35999,1171.10999,1173.37,1157.76001,1995290000.0
2005-05-13T00:00:00-04:00,1154.05005,1159.35999,1163.75,1146.18005,2188590000.0
2005-05-16T00:00:00-04:00,1165.68994,1154.05005,1165.75,1153.64001,1856860000.0
2005-05-17T00:00:00-04:00,1173.80005,1165.68994,1174.34998,1159.85999,1887260000.0
2005-05-18T00:00:00-04:00,1185.56006,1173.80005,1187.90002,1173.80005,2266320000.0
2005-05-19T00:00:00-04:00,1191.07996,1185.56006,1191.08997,1184.48999,1775860000.0
2005-05-20T00:00:00-04:00,1189.28003,1191.07996,1191.21997,1185.18994,1631750000.0
2005-05-23T00:00:00-04:00,1193.85999,1189.28003,1197.43994,1188.76001,1681170000.0
2005-05-24T00:00:00-04:00,1194.06995,1193.85999,1195.29004,1189.87,1681000000.0
2005-05-25T00:00:00-04:00,1190.01001,1194.06995,1194.06995,1185.95996,1742180000.0
2005-05-26T00:00:00-04:00,1197.62,1190.01001,1198.94995,1190.01001,1654110000.0
2005-05-27T00:00:00-04:00,1198.78003,1197.62,1199.56006,1195.28003,1381430000.0
2005-05-31T00:00:00-04:00,1191.5,1198.78003,1198.78003,1191.5,1840680000.0
2005-06-01T00:00:00-04:00,1202.21997,1191.5,1205.64001,1191.03003,1810100000.0
2005-06-02T00:00:00-04:00,1204.29004,1202.27002,1204.67004,1198.42004,1813790000.0
2005-06-03T00:00:00-04:00,1196.02002,1204.29004,1205.08997,1194.55005,1627520000.0
2005-06-06T00:00:00-04:00,1197.51001,1196.02002,1198.78003,1192.75,1547120000.0
2005-06-07T00:00:00-04:00,1197.26001,1197.51001,1208.84998,1197.26001,1851370000.0
2005-06-08T00:00:00-04:00,1194.67004,1197.26001,1201.96997,1193.32996,1715490000.0
2005-06-09T00:00:00-04:00,1200.93005,1194.67004,1201.85999,1191.08997,1824120000.0
2005-06-10T00:00:00-04:00,1198.10999,1200.93005,1202.79004,1192.64001,1664180000.0
2005-06-13T00:00:00-04:00,1200.81995,1198.10999,1206.03003,1194.51001,1661350000.0
2005-06-14T00:00:00-04:00,1203.91003,1200.81995,1207.53003,1200.18005,1698150000.0
2005-06-15T00:00:00-04:00,1206.57996,1203.91003,1208.07996,1198.66003,1840440000.0
2005-06-16T00:00:00-04:00,1210.95996,1206.55005,1212.09998,1205.46997,1776040000.0
2005-06-17T00:00:00-04:00,1216.95996,1210.93005,1219.55005,1210.93005,2407370000.0
2005-06-20T00:00:00-04:00,1216.09998,1216.95996,1219.09998,1210.65002,1714530000.0
2005-06-21T00:00:00-04:00,1213.60999,1216.09998,1217.13,1211.85999,1720700000.0
2005-06-22T00:00:00-04:00,1213.88,1213.60999,1219.58997,1211.68994,1823250000.0
2005-06-23T00:00:00-04:00,1200.72998,1213.88,1216.44995,1200.71997,2029920000.0
2005-06-24T00:00:00-04:00,1191.56995,1200.72998,1200.90002,1191.44995,2418800000.0
2005-06-27T00:00:00-04:00,1190.68994,1191.56995,1194.32996,1188.30005,1738620000.0
2005-06-28T00:00:00-04:00,1201.56995,1190.68994,1202.54004,1190.68994,1772410000.0
2005-06-29T00:00:00-04:00,1199.84998,1201.56995,1204.06995,1198.69995,1769280000.0
2005-06-30T00:00:00-04:00,1191.32996,1199.84998,1203.27002,1190.51001,2109490000.0
2005-07-01T00:00:00-04:00,1194.43994,1191.32996,1197.89001,1191.32996,1593820000.0
2005-07-05T00:00:00-04:00,1204.98999,1194.43994,1206.33997,1192.48999,1805820000.0
2005-07-06T00:00:00-04:00,1194.93994,1204.98999,1206.10999,1194.78003,1883470000.0
2005-07-07T00:00:00-04:00,1197.87,1194.93994,1198.45996,1183.55005,1952440000.0
2005-07-08T00:00:00-04:00,1211.85999,1197.87,1212.72998,1197.19995,1900810000.0
2005-07-11T00:00:00-04:00,1219.43994,1211.85999,1220.03003,1211.85999,1846300000.0
2005-07-12T00:00:00-04:00,1222.20996,1219.43994,1225.54004,1216.59998,1932010000.0
2005-07-13T00:00:00-04:00,1223.29004,1222.20996,1224.45996,1219.64001,1812500000.0
